Movie Code,Movie Name (Korean),Movie Name (English),Production Year,Running Time,Open Date,Production Status,Movie Type,Nations,Genres,Directors,Actors,Watch Grade
20090890,아빠가 여자를 좋아해,Lady Daddy,2009,113,20100114,개봉,장편,한국,"멜로/로맨스, 코미디",이광재,"김지석, 이나영, 박정현, 김희수, 조아름, 이필모, 김희원, 김응수, 최장현, 장남열, 태인호, 이창훈",12세이상관람가
20090892,웨딩드레스,Wedding Dress,2010,110,20100114,개봉,장편,한국,드라마,권형진,"송윤아, 김향기, 경규원, 이기우, 김여진, 김명국, 전미선, 김혜진, 최지우, 양진성, 전동성, 조현민, 정광재, 최대호, 임지선, 오수정, 권수현, 차은재, 이승연, 윤경호",전체관람가
20090861,앨빈과 슈퍼밴드2,Alvin And The Chipmunks 2,2009,88,20091230,개봉,장편,미국,"가족, 코미디, 드라마",베티 토머스,"저스틴 롱, 매튜 그레이 구블러, 제이슨 리",전체관람가
20090856,셜록 홈즈,Sherlock Holmes,2009,128,20091223,개봉,장편,"미국, 영국","미스터리, 범죄, 어드벤처",가이 리치,"로버트 다우니 주니어, 주드 로",12세이상관람가
20090916,8인: 최후의 결사단,Bodyguards And Assassins,2009,138,20100121,개봉,장편,중국,"액션, 사극",진덕삼,"견자단, 사정봉, 양가휘, 여명, 판빙빙",15세이상관람가
20090850,공주와 개구리,The Princess And The Frog,2009,98,20100121,개봉,장편,미국,"애니메이션, 멜로/로맨스","존 머스커, 론 클레멘츠","애니카 노니 로즈, 브루노 캄포스, 키스 데이빗",전체관람가
20090917,주문진,Jumunjin,2010,96,20100121,개봉,장편,한국,"드라마, 멜로/로맨스, 판타지",하명중,"김기범, 민준호, 황보라, 조상기, 박하선, 정종열, 이대수, 이승조, 이용녀",12세이상관람가
20100030,2008 서태지 심포니 위드 톨가 카쉬프 로열필하모닉,2008 Seotaiji Symphony with Tolga Kashif Royal Philharmonic,2008,123,20100122,개봉,장편,한국,"공연, 다큐멘터리",서태지,서태지,전체관람가
20090888,용서는 없다,No Mercy,2009,125,20100107,개봉,장편,한국,"범죄, 스릴러",김형준,"설경구, 류승범, 한혜진, 김홍파, 성지루, 박상욱, 이정우, 김혁, 강규환, 강승완, 남경읍, 이도겸, 안주미, 신민섭, 조수빈, 김대상, 김도엽, 최규동, 유태경, 임두영, 정승연, 정재훈, 최원영, 최윤정, 최은경, 임영진, 이종석, 김종수, 유다인, 주석태, 정영훈",청소년관람불가
20090821,아스트로 보이-아톰의 귀환,Astro Boy,2009,93,20100113,개봉,장편,미국,"애니메이션, 액션, SF",데이빗 보워스,"니콜라스 케이지, 프레디 하이모어, 크리스틴 벨, 유승호, 조민기, 남지현, 유세윤",전체관람가
20100011,춤추는 꿈틀이 밴드,Sunshine Barry & The Disco Worms,2008,80,20100204,개봉,장편,"덴마크, 독일","애니메이션, 가족, 코미디",토마스 보르히 닐슨,"엄상현, 이장원, 조현정",전체관람가
20090077,전우치,Jeon Woochi: The Taoist Wizard,2009,136,20091223,개봉,장편,한국,"액션, 코미디, 판타지",최동훈,"강동원, 임수정, 김윤석, 유해진, 김시권, 주진모, 선우선, 강동균, 정혜란, 손선영, 송진영, 김혜지, 신수현, 박용범, 박민규, 김조운, 박지희, 안성진, 노남석, 한연호, 김규연, 고준영, 박남희, 윤대원, 이석원, 이성두, 정영훈, 정우철, 박연수, 오준석, 정지인, 이우희, 이대로, 송영창, 김서현, 김상호, 이용녀, 공정환, 권태원, 김기천, 염정아, 김효진, 김고은, 이철희, 이미도, 최진호, 조상건, 장준녕, 최우리, 박성훈, 박수영, 정인기, 김기범, 최교식, 김조운, 김현식",12세이상관람가
20090897,꼬마 니콜라,Little Nicholas,2009,91,20100128,개봉,장편,프랑스,"가족, 코미디",로랑 티라르,"발리에리 르메르시, 막심 고다르, 카드 메라드",전체관람가
20090895,주유소 습격사건 2,Attack The Gas Station 2,2009,111,20100121,개봉,장편,한국,"액션, 코미디",김상진,"지현우, 조한선, 박영규, 송율규, 정재훈, 문원주, 나해리, 탁트인, 이세미, 이미도, 박상면, 이도겸, 김정운, 강경덕, 신승훈, 조영민, 김윤성, 박진영, 배선옥, 백종민, 강승완, 정규영, 정찬석, 김상진, 유승우, 유용주, 박상욱, 정지호, 이영식, 이정임, 조덕현, 김태훈",15세이상관람가
20090913,들어는 봤니? 모건 부부,Did You Hear About The Morgans?,2009,103,20100128,개봉,장편,미국,"코미디, 멜로/로맨스",마크 로렌스,"휴 그랜트, 사라 제시카 파커",15세이상관람가
